series_id,name,units,f,date,amount
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202012,5.19
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202011,5.75
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202010,5.35
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202009,4.94
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202008,4.51
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202007,5.04
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202006,5
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202005,4.52
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202004,4.7
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202003,5.74
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202002,5
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,202001,5.45
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201912,5.53
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201911,5.13
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201910,5.51
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201909,5.06
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201908,5.33
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201907,5.33
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201906,5.06
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201905,4.87
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201904,6
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201903,5.93
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201902,5.37
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201901,5.21
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201812,5.79
ELEC.ASH_CONTENT.COW-IA-7.M,Quality of fossil fuels in electricity generation : ash content : coal : Iowa : industrial cogen : monthly,percent,M,201811,4.75
