series_id,name,units,f,date,amount
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2017,632700.75
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2016,580492.99
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2015,608400.796667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2014,720191.193333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2013,685332.963333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2012,542133.02
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2011,622619.983333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2010,589724.85
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2009,644691.556667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2008,635778.036667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2007,593704.1
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2006,534227.576667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2005,587708.696667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2004,603042.073333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2003,635778.036667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2002,623946.4
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2001,577044.306667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,2000,601980.94
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1999,586223.11
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1998,555768.583333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1997,633443.543333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1996,702098.87
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1995,624423.91
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1994,598426.143333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1993,602723.733333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1992,537410.976667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1991,573701.736667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1990,502818.03
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1989,546802.006667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1988,511996.833333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1987,448328.833333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1986,517461.67
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1985,583358.05
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1984,555131.903333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1983,536986.523333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1982,595083.573333
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1981,495230.926667
EMISS.CO2-V-NGRCB-ND.A,"Residential carbon dioxide emissions, natural gas (pipeline), North Dakota",metric tons CO2,A,1980,538259.883333
