series_id,name,units,f,date,amount
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210312,2.749
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210305,2.863
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210226,2.878
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210219,3.003
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210212,2.885
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210205,2.85
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210129,2.669
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210122,2.539
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210115,2.683
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210108,2.663
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20210101,2.438
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201225,2.616
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201218,2.654
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201211,2.493
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201204,2.671
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201127,2.873
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201120,2.79
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201113,3.054
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201106,3.139
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201030,3.397
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201023,3.399
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201016,3.383
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201009,3.294
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20201002,3.228
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20200925,3.234
NG.RNGC3.W,"Natural Gas Futures Contract 3, Weekly",Dollars per Million Btu,W,20200918,3.138
