series_id,name,units,f,date,amount
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202012,6368
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202011,5921
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202010,6014
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202009,5880
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202008,6128
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202007,6127
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202006,6184
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202005,5907
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202004,4245
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202003,5658
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202002,5620
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,202001,6208
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201912,6366
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201911,5619
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201910,5813
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201909,6174
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201908,6711
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201907,6668
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201906,6310
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201905,6025
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201904,4853
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201903,5460
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201902,5159
PET_IMPORTS.OPN_N-PS_MT-ALL.M,"Imports of all grades of crude oil from Non-OPEC to customs districts in Montana, Monthly",thousand barrels,M,201901,6476
