series_id,name,units,f,date,amount
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2019,26784
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2018,27073
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2017,25486
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2016,25004
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2015,29590
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2014,28678
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2013,29748
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2012,25564
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2011,30630
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2010,32298
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2009,29219
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2008,30681
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2007,32380
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2006,32487
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2005,37287
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2004,37316
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2003,38847
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2002,37309
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2001,38274
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,2000,36643
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,1999,32173
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,1998,32278
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,1997,34084
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,1996,33845
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,1995,36600
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,1994,37586
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,1993,37988
SEDS.DFTXP.MA.A,"Distillate fuel oil total end-use consumption, Massachusetts",Thousand barrels,A,1992,39272
