series_id,name,units,f,date,amount
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2019,327.231
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2018,323.058
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2017,322.703
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2016,326.164
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2015,360.023
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2014,356.525
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2013,343.542
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2012,355.16
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2011,391.446
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2010,391.186
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2009,395.119
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2008,383.906
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2007,381.217
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2006,399.722
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2005,446.955
TOTAL.DFCCBUS.A,"Distillate Fuel Oil Consumed by the Commercial Sector, Annual",Trillion Btu,A,2004,469.753
